epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,valid_acc,valid_loss
0,49,,,,0.171875,,3.20245099067688,,
0,99,,,,0.21875,,2.7152373790740967,,
0,149,,,,0.359375,,2.097418785095215,,
0,199,,,,0.578125,,1.6099154949188232,,
0,249,,,,0.609375,,1.5398199558258057,,
0,299,,,,0.5,,1.5173604488372803,,
0,349,,,,0.609375,,1.2135508060455322,,
0,399,,,,0.546875,,1.3219916820526123,,
0,449,,,,0.59375,,1.3117754459381104,,
0,499,,,,0.703125,,0.8526110649108887,,
0,549,,,,0.75,,0.9249611496925354,,
0,599,,,,0.71875,,0.9639771580696106,,
0,649,,,,0.71875,,0.8353049755096436,,
0,699,,,,0.84375,,0.8005014657974243,,
0,749,,,,0.78125,,0.757914662361145,,
0,799,,,,0.84375,,0.5149242281913757,,
0,849,,,,0.71875,,0.9426338076591492,,
0,899,,,,0.796875,,0.6429852843284607,,
0,949,,,,0.828125,,0.5646172761917114,,
0,999,,,,0.875,,0.3704817295074463,,
0,1049,,,,0.765625,,0.7161993980407715,,
0,1099,,,,0.8125,,0.48015132546424866,,
0,1149,,,,0.859375,,0.5847833156585693,,
0,1199,,,,0.875,,0.43655383586883545,,
0,1247,,,,,,,0.843788743019104,0.4929575026035309
0,1247,,,0.6606820821762085,,1.1315124034881592,,,
1,1249,,,,0.828125,,0.4815935790538788,,
1,1299,,,,0.859375,,0.4622504413127899,,
1,1349,,,,0.90625,,0.39225834608078003,,
1,1399,,,,0.828125,,0.5992728471755981,,
1,1449,,,,0.921875,,0.25118738412857056,,
1,1499,,,,0.890625,,0.45396143198013306,,
1,1549,,,,0.859375,,0.761982798576355,,
1,1599,,,,0.890625,,0.4299379289150238,,
1,1649,,,,0.875,,0.34763824939727783,,
1,1699,,,,0.828125,,0.4976691007614136,,
1,1749,,,,0.828125,,0.5293524265289307,,
1,1799,,,,0.765625,,0.705711841583252,,
1,1849,,,,0.8125,,0.6726562976837158,,
1,1899,,,,0.84375,,0.4718983769416809,,
1,1949,,,,0.875,,0.40725746750831604,,
1,1999,,,,0.890625,,0.398645281791687,,
1,2049,,,,0.953125,,0.24424542486667633,,
1,2099,,,,0.890625,,0.3268318474292755,,
1,2149,,,,0.921875,,0.35118716955184937,,
1,2199,,,,0.921875,,0.20012453198432922,,
1,2249,,,,0.828125,,0.6063782572746277,,
1,2299,,,,0.921875,,0.37885263562202454,,
1,2349,,,,0.875,,0.4132358729839325,,
1,2399,,,,0.890625,,0.46413475275039673,,
1,2449,,,,0.859375,,0.4267837107181549,,
1,2495,,,,,,,0.8781394362449646,0.3733501732349396
1,2495,,,0.8655348420143127,,0.43462052941322327,,,
2,2499,,,,0.90625,,0.23728913068771362,,
