epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,valid_acc,valid_loss
0,49,,0.125,,3.1862897872924805,,
0,99,,0.3125,,2.3059792518615723,,
0,149,,0.46875,,1.7353260517120361,,
0,199,,0.59375,,1.3525298833847046,,
0,249,,0.578125,,1.3518006801605225,,
0,299,,0.796875,,0.6779738664627075,,
0,349,,0.84375,,0.738323450088501,,
0,399,,0.6875,,0.8141997456550598,,
0,449,,0.765625,,0.7936380505561829,,
0,499,,0.78125,,0.6728006601333618,,
0,549,,0.734375,,0.6724639534950256,,
0,599,,0.78125,,0.6748812198638916,,
0,649,,0.8125,,0.6763063073158264,,
0,699,,0.796875,,0.5794453620910645,,
0,749,,0.8125,,0.4336920976638794,,
0,799,,0.78125,,0.6210944652557373,,
0,849,,0.8125,,0.6686854958534241,,
0,899,,0.828125,,0.4476352632045746,,
0,949,,0.890625,,0.39011120796203613,,
0,999,,0.859375,,0.5414712429046631,,
0,1049,,0.90625,,0.3558841347694397,,
0,1099,,0.84375,,0.46637922525405884,,
0,1149,,0.84375,,0.6243124604225159,,
0,1199,,0.8125,,0.5591081976890564,,
0,1247,,,,,0.8567406535148621,0.45452818274497986
0,1247,0.7195512652397156,,0.934475839138031,,,
1,1249,,0.828125,,0.4858834743499756,,
1,1299,,0.8125,,0.5032208561897278,,
1,1349,,0.859375,,0.4659014940261841,,
1,1399,,0.828125,,0.46615058183670044,,
1,1449,,0.890625,,0.32134103775024414,,
1,1499,,0.890625,,0.4822232127189636,,
1,1549,,0.921875,,0.32950958609580994,,
1,1599,,0.890625,,0.49908846616744995,,
1,1649,,0.734375,,0.670231819152832,,
1,1699,,0.8125,,0.5330471992492676,,
1,1749,,0.828125,,0.7950849533081055,,
1,1799,,0.875,,0.43845343589782715,,
1,1849,,0.953125,,0.1810745894908905,,
1,1899,,0.921875,,0.25343620777130127,,
1,1949,,0.90625,,0.2535375654697418,,
1,1999,,0.9375,,0.18144921958446503,,
1,2049,,0.859375,,0.4247088134288788,,
1,2099,,0.90625,,0.3106209635734558,,
1,2149,,0.8125,,0.44732391834259033,,
1,2199,,0.875,,0.5442633032798767,,
1,2249,,0.953125,,0.24759352207183838,,
1,2299,,0.9375,,0.19379013776779175,,
1,2349,,0.828125,,0.5507936477661133,,
1,2399,,0.921875,,0.3007257878780365,,
1,2449,,0.90625,,0.26352542638778687,,
1,2495,,,,,0.8917670845985413,0.3253030776977539
1,2495,0.8824243545532227,,0.367937296628952,,,
2,2499,,0.859375,,0.39108315110206604,,
2,2549,,0.90625,,0.3053266108036041,,
2,2599,,0.90625,,0.297480046749115,,
2,2649,,0.9375,,0.25380435585975647,,
2,2699,,0.890625,,0.34786146879196167,,
2,2749,,0.9375,,0.23309379816055298,,
2,2799,,0.9375,,0.18973049521446228,,
2,2849,,0.90625,,0.2956750988960266,,
2,2899,,0.9375,,0.12002364546060562,,
2,2949,,0.859375,,0.34259751439094543,,
2,2999,,0.875,,0.40207183361053467,,
2,3049,,0.921875,,0.33437272906303406,,
2,3099,,0.890625,,0.35655948519706726,,
2,3149,,0.9375,,0.4105190634727478,,
2,3199,,0.96875,,0.0976397842168808,,
2,3249,,0.875,,0.3930049538612366,,
2,3299,,0.9375,,0.19689495861530304,,
2,3349,,0.96875,,0.1583205908536911,,
2,3399,,0.84375,,0.4144851565361023,,
2,3449,,0.96875,,0.17952266335487366,,
2,3499,,0.890625,,0.31505104899406433,,
2,3549,,0.890625,,0.3352772295475006,,
2,3599,,0.84375,,0.29566583037376404,,
2,3649,,0.875,,0.2718467712402344,,
