epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,valid_acc,valid_loss
0,49,,0.140625,,3.174011707305908,,
0,99,,0.390625,,2.089120864868164,,
0,149,,0.46875,,1.6522787809371948,,
0,199,,0.515625,,1.4896860122680664,,
0,249,,0.5625,,1.393821120262146,,
0,299,,0.671875,,1.1543083190917969,,
0,349,,0.765625,,0.9553135633468628,,
0,399,,0.65625,,1.027234673500061,,
0,449,,0.75,,0.9388553500175476,,
0,499,,0.703125,,0.9007523059844971,,
0,549,,0.71875,,1.034646987915039,,
0,599,,0.734375,,1.2685527801513672,,
0,649,,0.8125,,0.6071926355361938,,
0,699,,0.65625,,0.9555822610855103,,
0,749,,0.734375,,0.8286067247390747,,
0,799,,0.859375,,0.42348819971084595,,
0,849,,0.78125,,0.724420428276062,,
0,899,,0.796875,,0.704939603805542,,
0,949,,0.796875,,0.5728828310966492,,
0,999,,0.796875,,0.4490255117416382,,
0,1049,,0.828125,,0.6571382284164429,,
0,1099,,0.828125,,0.5826097130775452,,
0,1149,,0.890625,,0.41723382472991943,,
0,1199,,0.84375,,0.6167349815368652,,
0,1247,,,,,0.8214889168739319,0.5556495785713196
0,1247,0.6917442679405212,,1.0299030542373657,,,
1,1249,,0.796875,,0.4821942150592804,,
1,1299,,0.859375,,0.6818677186965942,,
1,1349,,0.875,,0.48526743054389954,,
1,1399,,0.828125,,0.43859732151031494,,
1,1449,,0.828125,,0.4760552644729614,,
1,1499,,0.78125,,0.6101028919219971,,
1,1549,,0.8125,,0.5812697410583496,,
1,1599,,0.890625,,0.3916083574295044,,
1,1649,,0.90625,,0.4333135485649109,,
1,1699,,0.875,,0.33781498670578003,,
1,1749,,0.90625,,0.2859008312225342,,
1,1799,,0.875,,0.4816857874393463,,
1,1849,,0.859375,,0.3844969868659973,,
1,1899,,0.859375,,0.525000810623169,,
1,1949,,0.78125,,0.5923738479614258,,
1,1999,,0.875,,0.43386468291282654,,
1,2049,,0.890625,,0.366534024477005,,
1,2099,,0.90625,,0.3912208080291748,,
1,2149,,0.828125,,0.6612496972084045,,
1,2199,,0.875,,0.40379244089126587,,
1,2249,,0.859375,,0.3700985908508301,,
1,2299,,0.84375,,0.3611544072628021,,
1,2349,,0.828125,,0.3557503819465637,,
1,2399,,0.828125,,0.5445203185081482,,
1,2449,,0.828125,,0.5627679228782654,,
1,2495,,,,,0.8864737153053284,0.36610379815101624
1,2495,0.8677258491516113,,0.4210093021392822,,,
2,2499,,0.9375,,0.20660533010959625,,
2,2549,,0.953125,,0.37945011258125305,,
2,2599,,0.84375,,0.37979212403297424,,
2,2649,,0.796875,,0.5436080694198608,,
2,2699,,0.921875,,0.3037835955619812,,
2,2749,,0.9375,,0.2538229525089264,,
2,2799,,0.90625,,0.2409503012895584,,
2,2849,,0.84375,,0.403011679649353,,
2,2899,,0.9375,,0.14828887581825256,,
2,2949,,0.90625,,0.5655795931816101,,
2,2999,,0.828125,,0.4311296343803406,,
2,3049,,0.9375,,0.1627524495124817,,
2,3099,,0.921875,,0.20050649344921112,,
2,3149,,0.890625,,0.2753710150718689,,
2,3199,,0.90625,,0.4418593943119049,,
2,3249,,0.890625,,0.3403034806251526,,
2,3299,,0.921875,,0.2466147243976593,,
2,3349,,0.8125,,0.4195302724838257,,
2,3399,,0.921875,,0.33910611271858215,,
2,3449,,0.9375,,0.2586502730846405,,
2,3499,,0.90625,,0.3597542345523834,,
2,3549,,0.90625,,0.18541313707828522,,
2,3599,,0.875,,0.2581608295440674,,
2,3649,,0.859375,,0.39257097244262695,,
2,3699,,0.875,,0.3357383608818054,,
2,3743,,,,,0.8943575024604797,0.3391861617565155
2,3743,0.8970602750778198,,0.3215903639793396,,,
3,3749,,0.90625,,0.2967550754547119,,
3,3799,,0.90625,,0.3920164704322815,,
3,3849,,0.859375,,0.3373914659023285,,
3,3899,,0.96875,,0.11142183840274811,,
3,3949,,0.96875,,0.17429354786872864,,
3,3999,,0.890625,,0.30855968594551086,,
3,4049,,0.953125,,0.10862287133932114,,
3,4099,,0.921875,,0.21676842868328094,,
3,4149,,0.953125,,0.11619090288877487,,
3,4199,,0.953125,,0.17826959490776062,,
3,4249,,0.96875,,0.1101231649518013,,
3,4299,,0.90625,,0.3520207703113556,,
3,4349,,0.90625,,0.24929413199424744,,
3,4399,,0.9375,,0.19412162899971008,,
3,4449,,0.890625,,0.33474478125572205,,
3,4499,,0.890625,,0.248051255941391,,
3,4549,,0.890625,,0.2588508725166321,,
3,4599,,0.921875,,0.21715323626995087,,
3,4649,,0.90625,,0.2889796197414398,,
3,4699,,0.875,,0.3260537385940552,,
3,4749,,0.953125,,0.21409063041210175,,
3,4799,,0.890625,,0.25318968296051025,,
3,4849,,0.890625,,0.27057474851608276,,
3,4899,,0.921875,,0.22731328010559082,,
3,4949,,0.921875,,0.3122510313987732,,
3,4991,,,,,0.9055073857307434,0.2877366840839386
3,4991,0.9116711616516113,,0.2720276415348053,,,
4,4999,,0.953125,,0.19085049629211426,,
4,5049,,0.859375,,0.3340325355529785,,
4,5099,,0.875,,0.2665170431137085,,
4,5149,,0.984375,,0.08753913640975952,,
4,5199,,0.953125,,0.15219876170158386,,
4,5249,,0.890625,,0.30927854776382446,,
4,5299,,0.953125,,0.26768758893013,,
4,5349,,0.953125,,0.1446312665939331,,
4,5399,,0.890625,,0.17244046926498413,,
4,5449,,0.921875,,0.18633687496185303,,
4,5499,,0.890625,,0.26977217197418213,,
4,5549,,0.90625,,0.19765597581863403,,
4,5599,,0.90625,,0.2196677178144455,,
4,5649,,0.96875,,0.16822855174541473,,
4,5699,,0.921875,,0.19356021285057068,,
4,5749,,0.9375,,0.24999837577342987,,
4,5799,,0.859375,,0.32654476165771484,,
4,5849,,0.890625,,0.2622576057910919,,
4,5899,,0.9375,,0.10473546385765076,,
4,5949,,0.921875,,0.12109772861003876,,
4,5999,,0.90625,,0.22582456469535828,,
4,6049,,0.859375,,0.27177849411964417,,
4,6099,,0.921875,,0.3072366416454315,,
4,6149,,0.90625,,0.3714405596256256,,
4,6199,,0.953125,,0.19597381353378296,,
4,6239,,,,,0.9138416647911072,0.26111018657684326
4,6239,0.9210110902786255,,0.23830203711986542,,,
5,6249,,1.0,,0.08675123751163483,,
5,6299,,0.9375,,0.10996748507022858,,
5,6349,,0.9375,,0.1937088817358017,,
5,6399,,0.9375,,0.14009006321430206,,
5,6449,,0.859375,,0.32485297322273254,,
5,6499,,1.0,,0.06757404655218124,,
5,6549,,0.890625,,0.28862226009368896,,
5,6599,,0.859375,,0.4632054567337036,,
5,6649,,0.953125,,0.13996388018131256,,
5,6699,,0.90625,,0.23811538517475128,,
5,6749,,0.90625,,0.2762967348098755,,
5,6799,,0.890625,,0.28232091665267944,,
5,6849,,0.90625,,0.17357724905014038,,
5,6899,,0.953125,,0.13825085759162903,,
5,6949,,0.921875,,0.21394827961921692,,
5,6999,,0.984375,,0.08724738657474518,,
5,7049,,0.921875,,0.16269272565841675,,
5,7099,,0.921875,,0.23569899797439575,,
5,7149,,0.96875,,0.10021301358938217,,
5,7199,,0.875,,0.3533434271812439,,
5,7249,,0.921875,,0.16932764649391174,,
5,7299,,0.953125,,0.17773908376693726,,
5,7349,,0.953125,,0.29893365502357483,,
5,7399,,0.9375,,0.18876951932907104,,
5,7449,,0.921875,,0.21059435606002808,,
5,7487,,,,,0.9189097881317139,0.24245814979076385
5,7487,0.9296749830245972,,0.2115449458360672,,,
6,7499,,0.875,,0.32352519035339355,,
6,7549,,0.953125,,0.19069832563400269,,
6,7599,,0.890625,,0.2909225821495056,,
6,7649,,0.984375,,0.07365787774324417,,
6,7699,,0.90625,,0.13695783913135529,,
6,7749,,0.953125,,0.2056446224451065,,
6,7799,,0.96875,,0.08570045232772827,,
6,7849,,0.953125,,0.13750618696212769,,
