epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,valid_acc,valid_loss
0,49,,0.09375,,3.1311423778533936,,
0,99,,0.53125,,1.5183154344558716,,
0,149,,0.5625,,1.4092488288879395,,
0,199,,0.59375,,1.3249573707580566,,
0,249,,0.734375,,0.9616854190826416,,
0,299,,0.78125,,0.9030178189277649,,
0,349,,0.6875,,1.187929391860962,,
0,399,,0.71875,,0.8723042607307434,,
0,449,,0.671875,,0.9066570997238159,,
0,499,,0.71875,,0.8846943974494934,,
0,549,,0.78125,,0.6804419755935669,,
0,599,,0.796875,,0.6674683094024658,,
0,649,,0.8125,,0.6661561727523804,,
0,699,,0.828125,,0.659462571144104,,
0,749,,0.84375,,0.7047399282455444,,
0,799,,0.890625,,0.5510604381561279,,
0,849,,0.78125,,0.5791466236114502,,
0,899,,0.8125,,0.6110121011734009,,
0,949,,0.90625,,0.4081000089645386,,
0,999,,0.859375,,0.544744610786438,,
0,1049,,0.9375,,0.38491150736808777,,
0,1099,,0.84375,,0.38787227869033813,,
0,1149,,0.8125,,0.379462331533432,,
0,1199,,0.90625,,0.27316808700561523,,
0,1247,,,,,0.8592183589935303,0.44422948360443115
0,1247,0.7170973420143127,,0.9382362365722656,,,
1,1249,,0.859375,,0.33049407601356506,,
1,1299,,0.84375,,0.41023552417755127,,
1,1349,,0.90625,,0.3976373076438904,,
1,1399,,0.859375,,0.46625155210494995,,
1,1449,,0.890625,,0.39531055092811584,,
1,1499,,0.828125,,0.4795471131801605,,
1,1549,,0.921875,,0.24294441938400269,,
1,1599,,0.859375,,0.3712990880012512,,
1,1649,,0.8125,,0.7430011034011841,,
1,1699,,0.84375,,0.4121660888195038,,
1,1749,,0.875,,0.386586993932724,,
1,1799,,0.828125,,0.5227855443954468,,
1,1849,,0.921875,,0.2359713613986969,,
1,1899,,0.890625,,0.47687819600105286,,
1,1949,,0.921875,,0.19967342913150787,,
1,1999,,0.890625,,0.36930787563323975,,
1,2049,,0.921875,,0.21221774816513062,,
1,2099,,0.890625,,0.26730597019195557,,
1,2149,,0.90625,,0.22168469429016113,,
1,2199,,0.90625,,0.3194373846054077,,
1,2249,,0.8125,,0.42916128039360046,,
1,2299,,0.90625,,0.3629230558872223,,
1,2349,,0.828125,,0.4685511589050293,,
1,2399,,0.875,,0.27387717366218567,,
1,2449,,0.9375,,0.22500671446323395,,
1,2495,,,,,0.8887262344360352,0.3485439121723175
1,2495,0.8809469938278198,,0.3704952597618103,,,
2,2499,,0.90625,,0.40396976470947266,,
2,2549,,0.9375,,0.3355618119239807,,
2,2599,,0.9375,,0.23966485261917114,,
2,2649,,0.90625,,0.26665446162223816,,
2,2699,,0.890625,,0.45011529326438904,,
2,2749,,0.90625,,0.2722800374031067,,
2,2799,,0.84375,,0.4123467206954956,,
2,2849,,0.921875,,0.25229597091674805,,
2,2899,,0.921875,,0.2534330487251282,,
2,2949,,0.875,,0.4259974956512451,,
2,2999,,0.953125,,0.12975700199604034,,
2,3049,,0.859375,,0.35583585500717163,,
2,3099,,0.9375,,0.2472437024116516,,
2,3149,,0.9375,,0.3041324019432068,,
2,3199,,0.921875,,0.3652612566947937,,
2,3249,,0.921875,,0.3087059259414673,,
2,3299,,0.859375,,0.3667055368423462,,
2,3349,,0.921875,,0.2171192467212677,,
2,3399,,0.921875,,0.2892710864543915,,
2,3449,,0.96875,,0.1236640214920044,,
2,3499,,0.953125,,0.19520699977874756,,
2,3549,,0.9375,,0.14831474423408508,,
2,3599,,0.9375,,0.1809079349040985,,
2,3649,,0.90625,,0.2320338487625122,,
2,3699,,0.9375,,0.38940176367759705,,
2,3743,,,,,0.9104629158973694,0.27796924114227295
2,3743,0.9075395464897156,,0.2850838601589203,,,
3,3749,,0.921875,,0.20658646523952484,,
3,3799,,0.9375,,0.28243088722229004,,
3,3849,,0.90625,,0.3818688988685608,,
3,3899,,0.921875,,0.17537441849708557,,
3,3949,,0.953125,,0.175827294588089,,
3,3999,,0.90625,,0.27436432242393494,,
3,4049,,0.921875,,0.2834405303001404,,
3,4099,,0.9375,,0.14898990094661713,,
3,4149,,0.953125,,0.14425703883171082,,
3,4199,,0.859375,,0.42815470695495605,,
3,4249,,0.9375,,0.21434473991394043,,
3,4299,,0.9375,,0.14066378772258759,,
3,4349,,0.890625,,0.21967481076717377,,
3,4399,,0.9375,,0.16768884658813477,,
3,4449,,0.890625,,0.28365856409072876,,
3,4499,,0.953125,,0.09519414603710175,,
3,4549,,0.953125,,0.16214948892593384,,
3,4599,,0.921875,,0.26860594749450684,,
3,4649,,0.90625,,0.24131262302398682,,
3,4699,,0.890625,,0.27425485849380493,,
3,4749,,0.859375,,0.4109381437301636,,
3,4799,,0.9375,,0.2009122222661972,,
3,4849,,0.984375,,0.04658036679029465,,
3,4899,,0.9375,,0.147583469748497,,
3,4949,,0.859375,,0.47296810150146484,,
3,4991,,,,,0.9200360178947449,0.24559994041919708
3,4991,0.9205102920532227,,0.24146251380443573,,,
4,4999,,0.953125,,0.147019624710083,,
4,5049,,0.90625,,0.1853308230638504,,
4,5099,,0.84375,,0.43549004197120667,,
4,5149,,0.921875,,0.2554168105125427,,
4,5199,,0.96875,,0.0918189063668251,,
4,5249,,0.96875,,0.14185060560703278,,
4,5299,,0.9375,,0.22800007462501526,,
4,5349,,0.953125,,0.12292946875095367,,
4,5399,,0.96875,,0.09873031079769135,,
4,5449,,0.90625,,0.20241308212280273,,
4,5499,,0.9375,,0.29089275002479553,,
4,5549,,0.953125,,0.16876831650733948,,
4,5599,,0.90625,,0.23261669278144836,,
4,5649,,0.953125,,0.12302769720554352,,
4,5699,,0.921875,,0.20815519988536835,,
4,5749,,0.984375,,0.1928785890340805,,
4,5799,,0.953125,,0.13989068567752838,,
4,5849,,0.90625,,0.2630646824836731,,
4,5899,,0.890625,,0.2770770788192749,,
4,5949,,0.875,,0.3287802040576935,,
4,5999,,0.9375,,0.20743989944458008,,
4,6049,,0.953125,,0.10022257268428802,,
4,6099,,0.96875,,0.07982339709997177,,
4,6149,,0.96875,,0.10039674490690231,,
4,6199,,0.90625,,0.4659508466720581,,
4,6239,,,,,0.9192476868629456,0.23434802889823914
4,6239,0.9275340437889099,,0.21248859167099,,,
5,6249,,0.953125,,0.11789612472057343,,
5,6299,,0.921875,,0.19944018125534058,,
5,6349,,0.9375,,0.12077145278453827,,
5,6399,,0.984375,,0.09484840929508209,,
5,6449,,0.953125,,0.1387261599302292,,
5,6499,,0.953125,,0.09693373739719391,,
5,6549,,0.9375,,0.24439239501953125,,
5,6599,,0.953125,,0.20613215863704681,,
5,6649,,0.921875,,0.2513614296913147,,
5,6699,,0.9375,,0.1873513162136078,,
5,6749,,0.953125,,0.09078165888786316,,
5,6799,,0.953125,,0.16638600826263428,,
5,6849,,0.96875,,0.08297748863697052,,
5,6899,,0.921875,,0.2782805860042572,,
5,6949,,0.921875,,0.24040117859840393,,
5,6999,,0.9375,,0.1462903767824173,,
5,7049,,0.90625,,0.23695936799049377,,
5,7099,,0.921875,,0.20602136850357056,,
5,7149,,0.9375,,0.1626528948545456,,
5,7199,,0.9375,,0.1413460075855255,,
5,7249,,0.9375,,0.15058475732803345,,
5,7299,,0.875,,0.26049864292144775,,
5,7349,,0.984375,,0.06789058446884155,,
5,7399,,0.96875,,0.148011714220047,,
5,7449,,0.984375,,0.09665040671825409,,
5,7487,,,,,0.9248789548873901,0.22809404134750366
5,7487,0.9338942170143127,,0.19234654307365417,,,
6,7499,,0.921875,,0.1630750596523285,,
6,7549,,0.953125,,0.09458743035793304,,
6,7599,,0.921875,,0.2377709001302719,,
6,7649,,0.921875,,0.23884135484695435,,
6,7699,,0.921875,,0.14457866549491882,,
6,7749,,0.890625,,0.21785089373588562,,
6,7799,,0.953125,,0.19382315874099731,,
6,7849,,0.90625,,0.2509410083293915,,
6,7899,,0.90625,,0.365714430809021,,
6,7949,,0.9375,,0.16992899775505066,,
6,7999,,0.96875,,0.13350148499011993,,
6,8049,,0.890625,,0.17873013019561768,,
6,8099,,0.953125,,0.2088935226202011,,
6,8149,,0.921875,,0.1144724190235138,,
6,8199,,0.9375,,0.12413526326417923,,
6,8249,,0.96875,,0.08927898854017258,,
6,8299,,0.90625,,0.21860550343990326,,
6,8349,,0.890625,,0.2098565548658371,,
6,8399,,0.90625,,0.1839151382446289,,
6,8449,,0.90625,,0.2249296009540558,,
6,8499,,0.921875,,0.173162043094635,,
6,8549,,0.921875,,0.21806161105632782,,
6,8599,,0.953125,,0.16822683811187744,,
6,8649,,0.921875,,0.2964504659175873,,
6,8699,,0.953125,,0.15129047632217407,,
6,8735,,,,,0.9291586875915527,0.21155540645122528
6,8735,0.9405423402786255,,0.17153874039649963,,,
7,8749,,1.0,,0.07093966007232666,,
7,8799,,0.953125,,0.08067336678504944,,
7,8849,,0.9375,,0.1251748502254486,,
7,8899,,0.921875,,0.179963618516922,,
7,8949,,0.953125,,0.09960566461086273,,
7,8999,,0.9375,,0.14938470721244812,,
7,9049,,0.984375,,0.20406076312065125,,
7,9099,,0.984375,,0.0882202610373497,,
7,9149,,0.921875,,0.17851047217845917,,
7,9199,,0.90625,,0.16693919897079468,,
7,9249,,0.96875,,0.11493836343288422,,
7,9299,,0.9375,,0.1810702383518219,,
