epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,valid_acc,valid_loss
0,49,,,,0.078125,,3.206538200378418,,
0,99,,,,0.140625,,2.982895851135254,,
0,149,,,,0.3125,,2.3118715286254883,,
0,199,,,,0.421875,,1.8108620643615723,,
0,249,,,,0.609375,,1.383467435836792,,
0,299,,,,0.515625,,1.9312598705291748,,
0,349,,,,0.59375,,1.290671706199646,,
0,399,,,,0.578125,,1.3825583457946777,,
0,449,,,,0.71875,,0.9931763410568237,,
0,499,,,,0.765625,,0.9971039295196533,,
0,549,,,,0.75,,0.7990436553955078,,
0,599,,,,0.78125,,0.7387998104095459,,
0,649,,,,0.765625,,0.7628299593925476,,
0,699,,,,0.796875,,0.6668680310249329,,
0,749,,,,0.734375,,0.996252179145813,,
0,799,,,,0.8125,,0.5410844683647156,,
0,849,,,,0.734375,,0.8452648520469666,,
0,899,,,,0.765625,,0.7232136726379395,,
0,949,,,,0.8125,,0.5692857503890991,,
0,999,,,,0.75,,0.6858136057853699,,
0,1049,,,,0.796875,,0.5559806823730469,,
0,1099,,,,0.828125,,0.5687283277511597,,
0,1149,,,,0.796875,,0.6243042945861816,,
0,1199,,,,0.875,,0.3223221004009247,,
0,1247,,,,,,,0.8307241797447205,0.5280340909957886
0,1247,,,0.6458834409713745,,1.1862276792526245,,,
1,1249,,,,0.828125,,0.4691302180290222,,
1,1299,,,,0.84375,,0.6416993141174316,,
1,1349,,,,0.8125,,0.5643999576568604,,
1,1399,,,,0.90625,,0.38672155141830444,,
1,1449,,,,0.859375,,0.3561056852340698,,
1,1499,,,,0.859375,,0.49040356278419495,,
1,1549,,,,0.84375,,0.5701286196708679,,
1,1599,,,,0.828125,,0.4681839942932129,,
1,1649,,,,0.828125,,0.7137588262557983,,
1,1699,,,,0.78125,,0.6741456985473633,,
1,1749,,,,0.84375,,0.39964592456817627,,
1,1799,,,,0.8125,,0.45009106397628784,,
1,1849,,,,0.890625,,0.42196422815322876,,
1,1899,,,,0.859375,,0.41206738352775574,,
1,1949,,,,0.890625,,0.38403552770614624,,
1,1999,,,,0.84375,,0.46190783381462097,,
1,2049,,,,0.875,,0.40975838899612427,,
1,2099,,,,0.859375,,0.42071279883384705,,
1,2149,,,,0.875,,0.30240267515182495,,
1,2199,,,,0.953125,,0.22014720737934113,,
1,2249,,,,0.90625,,0.32507556676864624,,
1,2299,,,,0.90625,,0.33293524384498596,,
1,2349,,,,0.875,,0.3253505825996399,,
1,2399,,,,0.890625,,0.3317074179649353,,
1,2449,,,,0.921875,,0.2919972538948059,,
1,2495,,,,,,,0.8734091520309448,0.3875386416912079
1,2495,,,0.8555939793586731,,0.4522819519042969,,,
2,2499,,,,0.84375,,0.3618851900100708,,
2,2549,,,,0.875,,0.2823736071586609,,
2,2599,,,,0.90625,,0.2058771252632141,,
2,2649,,,,0.859375,,0.4715940058231354,,
2,2699,,,,0.890625,,0.37845566868782043,,
2,2749,,,,0.828125,,0.45466476678848267,,
2,2799,,,,0.890625,,0.34048810601234436,,
2,2849,,,,0.90625,,0.2057216763496399,,
2,2899,,,,0.90625,,0.4643497169017792,,
2,2949,,,,0.84375,,0.42075231671333313,,
2,2999,,,,0.828125,,0.6050214767456055,,
2,3049,,,,0.90625,,0.2853073477745056,,
2,3099,,,,0.875,,0.32760292291641235,,
2,3149,,,,0.875,,0.40075433254241943,,
2,3199,,,,0.84375,,0.5781487226486206,,
2,3249,,,,0.84375,,0.5534505844116211,,
2,3299,,,,0.953125,,0.3899560570716858,,
2,3349,,,,0.890625,,0.28166890144348145,,
2,3399,,,,0.875,,0.29513680934906006,,
2,3449,,,,0.890625,,0.2869308292865753,,
2,3499,,,,0.890625,,0.22648786008358002,,
2,3549,,,,0.90625,,0.2864108085632324,,
2,3599,,,,0.9375,,0.2510758340358734,,
2,3649,,,,0.875,,0.37824690341949463,,
2,3699,,,,0.875,,0.35062360763549805,,
2,3743,,,,,,,0.8926680684089661,0.33412155508995056
2,3743,,,0.8865810036659241,,0.35156238079071045,,,
3,3749,,,,0.90625,,0.30590635538101196,,
3,3799,,,,0.859375,,0.37786567211151123,,
3,3849,,,,0.90625,,0.29894691705703735,,
3,3899,,,,0.96875,,0.18123501539230347,,
3,3949,,,,0.953125,,0.17415735125541687,,
3,3999,,,,0.90625,,0.21494007110595703,,
3,4049,,,,0.9375,,0.26148951053619385,,
3,4099,,,,0.875,,0.37125900387763977,,
3,4149,,,,0.875,,0.37809595465660095,,
3,4199,,,,0.953125,,0.15962640941143036,,
3,4249,,,,0.90625,,0.21707072854042053,,
3,4299,,,,0.890625,,0.5443406105041504,,
3,4349,,,,0.9375,,0.1916167289018631,,
3,4399,,,,0.875,,0.4330925941467285,,
3,4449,,,,0.84375,,0.3538510501384735,,
3,4499,,,,0.859375,,0.2861839532852173,,
3,4549,,,,0.890625,,0.27219897508621216,,
3,4599,,,,0.890625,,0.3039529025554657,,
3,4649,,,,0.859375,,0.4993022084236145,,
3,4699,,,,0.890625,,0.35224196314811707,,
3,4749,,,,0.90625,,0.3535943031311035,,
3,4799,,,,0.890625,,0.39697057008743286,,
