epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,valid_acc,valid_loss
0,49,,0.171875,,2.975653648376465,,
0,99,,0.46875,,1.7866027355194092,,
0,149,,0.546875,,1.305933952331543,,
0,199,,0.734375,,0.9402668476104736,,
0,249,,0.703125,,0.9861493706703186,,
0,299,,0.71875,,0.7684593200683594,,
0,349,,0.828125,,0.5111367702484131,,
0,399,,0.859375,,0.6132909059524536,,
0,449,,0.859375,,0.3951076865196228,,
0,499,,0.8125,,0.5976465940475464,,
0,549,,0.875,,0.5667827725410461,,
0,599,,0.890625,,0.34930938482284546,,
0,649,,0.890625,,0.40372756123542786,,
0,699,,0.859375,,0.4221624732017517,,
0,749,,0.84375,,0.4885801672935486,,
0,799,,0.890625,,0.43349844217300415,,
0,849,,0.875,,0.3796471655368805,,
0,899,,0.84375,,0.581030011177063,,
0,949,,0.859375,,0.4167792797088623,,
0,999,,0.859375,,0.43669623136520386,,
0,1049,,0.875,,0.4709594249725342,,
0,1099,,0.828125,,0.48459675908088684,,
0,1149,,0.90625,,0.5322761535644531,,
0,1199,,0.875,,0.44099876284599304,,
0,1247,,,,,0.8895145654678345,0.3399737775325775
0,1247,0.7622195482254028,,0.7733346223831177,,,
1,1249,,0.890625,,0.29495519399642944,,
1,1299,,0.984375,,0.12501831352710724,,
1,1349,,0.90625,,0.3879939317703247,,
1,1399,,0.828125,,0.3858768939971924,,
1,1449,,0.875,,0.29271185398101807,,
1,1499,,0.859375,,0.29162657260894775,,
1,1549,,0.953125,,0.2293081432580948,,
1,1599,,0.828125,,0.5356067419052124,,
1,1649,,0.921875,,0.340356707572937,,
1,1699,,0.84375,,0.3851509690284729,,
1,1749,,0.890625,,0.4612865447998047,,
1,1799,,0.921875,,0.3679071068763733,,
1,1849,,0.953125,,0.1926390528678894,,
1,1899,,0.859375,,0.35328030586242676,,
1,1949,,0.875,,0.3847718834877014,,
1,1999,,0.90625,,0.2373184710741043,,
1,2049,,0.96875,,0.15842194855213165,,
1,2099,,0.875,,0.4573884606361389,,
1,2149,,0.875,,0.27317315340042114,,
1,2199,,0.875,,0.271959125995636,,
1,2249,,0.953125,,0.1759902834892273,,
1,2299,,0.875,,0.4622378349304199,,
1,2349,,0.8125,,0.7138574719429016,,
1,2399,,0.9375,,0.1728729009628296,,
1,2449,,0.875,,0.3716408610343933,,
1,2495,,,,,0.9004392623901367,0.29374828934669495
1,2495,0.9014297723770142,,0.30705785751342773,,,
2,2499,,0.890625,,0.30106544494628906,,
2,2549,,0.9375,,0.21618011593818665,,
2,2599,,0.921875,,0.2681088149547577,,
2,2649,,0.90625,,0.1922435611486435,,
2,2699,,0.9375,,0.17901134490966797,,
2,2749,,0.875,,0.32617175579071045,,
2,2799,,0.9375,,0.12240058183670044,,
2,2849,,0.875,,0.25387924909591675,,
2,2899,,0.9375,,0.16977666318416595,,
2,2949,,0.890625,,0.17954251170158386,,
2,2999,,0.90625,,0.2587469816207886,,
2,3049,,0.953125,,0.14745014905929565,,
2,3099,,0.96875,,0.09705886244773865,,
2,3149,,0.875,,0.31715357303619385,,
2,3199,,0.953125,,0.14824025332927704,,
2,3249,,0.90625,,0.19707319140434265,,
2,3299,,0.890625,,0.45958569645881653,,
2,3349,,0.90625,,0.2156449556350708,,
2,3399,,0.90625,,0.32584112882614136,,
2,3449,,0.953125,,0.145944282412529,,
2,3499,,0.921875,,0.2043496072292328,,
2,3549,,0.9375,,0.17789939045906067,,
2,3599,,0.921875,,0.4992915987968445,,
2,3649,,0.9375,,0.16899918019771576,,
2,3699,,0.921875,,0.20978109538555145,,
2,3743,,,,,0.9156436324119568,0.2538047134876251
2,3743,0.9180563688278198,,0.2469022423028946,,,
3,3749,,0.984375,,0.09675762057304382,,
3,3799,,0.890625,,0.29931867122650146,,
3,3849,,0.9375,,0.2096085101366043,,
3,3899,,0.921875,,0.2649209499359131,,
