epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,valid_acc,valid_loss
0,49,,0.109375,,2.992032527923584,,
0,99,,0.5625,,1.638080358505249,,
0,149,,0.46875,,1.4020328521728516,,
0,199,,0.671875,,1.1029307842254639,,
0,249,,0.578125,,1.0772736072540283,,
0,299,,0.734375,,0.9582993984222412,,
0,349,,0.703125,,1.0483709573745728,,
0,399,,0.796875,,0.7903152108192444,,
0,449,,0.796875,,0.7152584791183472,,
0,499,,0.71875,,0.9788447022438049,,
0,549,,0.75,,0.5005415678024292,,
0,599,,0.78125,,0.530361533164978,,
0,649,,0.734375,,0.6513949632644653,,
0,699,,0.765625,,0.7167473435401917,,
0,749,,0.8125,,0.5981360673904419,,
0,799,,0.859375,,0.4451943039894104,,
0,849,,0.859375,,0.445406436920166,,
0,899,,0.875,,0.5150079131126404,,
0,949,,0.828125,,0.4026906490325928,,
0,999,,0.8125,,0.6176133155822754,,
0,1049,,0.875,,0.3349112570285797,,
0,1099,,0.828125,,0.4121348261833191,,
0,1149,,0.890625,,0.5252979397773743,,
0,1199,,0.8125,,0.4918484091758728,,
0,1247,,,,,0.8344408273696899,0.5053941011428833
0,1247,0.7227438688278198,,0.9102528095245361,,,
1,1249,,0.84375,,0.3216422200202942,,
1,1299,,0.890625,,0.3389189839363098,,
1,1349,,0.859375,,0.4506398141384125,,
1,1399,,0.859375,,0.41139620542526245,,
1,1449,,0.859375,,0.5677859783172607,,
1,1499,,0.875,,0.5305145382881165,,
1,1549,,0.890625,,0.3201807737350464,,
1,1599,,0.859375,,0.5441884398460388,,
1,1649,,0.859375,,0.4891016185283661,,
1,1699,,0.859375,,0.5132254362106323,,
1,1749,,0.96875,,0.23641535639762878,,
1,1799,,0.921875,,0.29733705520629883,,
1,1849,,0.890625,,0.2682649791240692,,
1,1899,,0.90625,,0.17836572229862213,,
1,1949,,0.890625,,0.4770117402076721,,
1,1999,,0.859375,,0.5381659865379333,,
1,2049,,0.890625,,0.3198815584182739,,
1,2099,,0.796875,,0.5265389680862427,,
1,2149,,0.9375,,0.37215960025787354,,
1,2199,,0.8125,,0.5917269587516785,,
1,2249,,0.90625,,0.330801784992218,,
1,2299,,0.859375,,0.4701337218284607,,
1,2349,,0.921875,,0.2581178843975067,,
1,2399,,0.90625,,0.24169357120990753,,
1,2449,,0.953125,,0.13822221755981445,,
1,2495,,,,,0.8924428224563599,0.32900163531303406
1,2495,0.8833884000778198,,0.3606460988521576,,,
2,2499,,0.96875,,0.1465321183204651,,
2,2549,,0.953125,,0.2537993788719177,,
2,2599,,0.890625,,0.4405153691768646,,
2,2649,,0.921875,,0.24619057774543762,,
2,2699,,0.90625,,0.24047307670116425,,
2,2749,,0.96875,,0.15238869190216064,,
2,2799,,0.875,,0.4558335542678833,,
2,2849,,0.890625,,0.3829554319381714,,
2,2899,,0.84375,,0.4763008654117584,,
2,2949,,0.828125,,0.3219941556453705,,
2,2999,,0.90625,,0.2768528461456299,,
2,3049,,0.890625,,0.5123962163925171,,
2,3099,,0.90625,,0.294543594121933,,
2,3149,,0.953125,,0.14660853147506714,,
2,3199,,0.890625,,0.3737565279006958,,
2,3249,,0.890625,,0.32747867703437805,,
2,3299,,0.890625,,0.2982500195503235,,
2,3349,,0.859375,,0.368679016828537,,
2,3399,,0.890625,,0.5935553312301636,,
2,3449,,0.890625,,0.3116086721420288,,
2,3499,,0.90625,,0.2575405538082123,,
2,3549,,0.859375,,0.23399284482002258,,
2,3599,,0.90625,,0.35179635882377625,,
2,3649,,0.875,,0.4411507844924927,,
2,3699,,0.921875,,0.29446524381637573,,
2,3743,,,,,0.9067462682723999,0.2774985134601593
2,3743,0.9083909392356873,,0.28100553154945374,,,
3,3749,,0.90625,,0.2803415060043335,,
3,3799,,0.9375,,0.17161132395267487,,
3,3849,,0.875,,0.2860112190246582,,
3,3899,,0.9375,,0.2607097029685974,,
3,3949,,0.875,,0.22487473487854004,,
3,3999,,0.90625,,0.1664527803659439,,
3,4049,,0.890625,,0.4394742250442505,,
3,4099,,0.9375,,0.1439528614282608,,
3,4149,,0.859375,,0.2878689169883728,,
3,4199,,0.953125,,0.1445753276348114,,
3,4249,,0.921875,,0.2070167511701584,,
3,4299,,0.9375,,0.28581416606903076,,
3,4349,,0.953125,,0.17224332690238953,,
3,4399,,0.875,,0.44159817695617676,,
3,4449,,0.96875,,0.13272625207901,,
3,4499,,0.953125,,0.1566595882177353,,
3,4549,,0.921875,,0.1665319949388504,,
3,4599,,0.9375,,0.16339068114757538,,
3,4649,,0.921875,,0.19112864136695862,,
3,4699,,0.9375,,0.18348932266235352,,
3,4749,,0.875,,0.27757948637008667,,
3,4799,,0.921875,,0.16150745749473572,,
3,4849,,0.90625,,0.23500530421733856,,
3,4899,,0.90625,,0.1823132485151291,,
3,4949,,0.953125,,0.1888425648212433,,
3,4991,,,,,0.911138653755188,0.26334744691848755
3,4991,0.9204226732254028,,0.2388714700937271,,,
4,4999,,0.953125,,0.13893547654151917,,
4,5049,,0.921875,,0.21495524048805237,,
4,5099,,0.921875,,0.1994856297969818,,
4,5149,,0.9375,,0.15938474237918854,,
4,5199,,0.921875,,0.1743870973587036,,
4,5249,,0.90625,,0.37694716453552246,,
4,5299,,0.96875,,0.12426367402076721,,
4,5349,,0.953125,,0.150909885764122,,
4,5399,,0.9375,,0.22822117805480957,,
4,5449,,0.953125,,0.09249217808246613,,
4,5499,,0.890625,,0.36592623591423035,,
4,5549,,0.921875,,0.17095884680747986,,
4,5599,,0.921875,,0.1950942873954773,,
4,5649,,0.890625,,0.20581316947937012,,
4,5699,,0.9375,,0.19096961617469788,,
4,5749,,0.890625,,0.24077680706977844,,
4,5799,,0.96875,,0.14169339835643768,,
4,5849,,0.921875,,0.1899445503950119,,
4,5899,,0.921875,,0.22777366638183594,,
4,5949,,0.953125,,0.2004421055316925,,
4,5999,,0.90625,,0.29113662242889404,,
4,6049,,0.875,,0.27797776460647583,,
4,6099,,0.953125,,0.12700575590133667,,
4,6149,,0.921875,,0.21682238578796387,,
4,6199,,0.953125,,0.17839965224266052,,
4,6239,,,,,0.9177835583686829,0.23149463534355164
4,6239,0.9298127293586731,,0.20952582359313965,,,
5,6249,,0.96875,,0.19130001962184906,,
5,6299,,0.984375,,0.062335800379514694,,
5,6349,,0.90625,,0.136320561170578,,
5,6399,,0.9375,,0.17074474692344666,,
5,6449,,0.96875,,0.08584931492805481,,
5,6499,,0.90625,,0.24970613420009613,,
5,6549,,0.9375,,0.1598685383796692,,
5,6599,,0.953125,,0.1345834732055664,,
5,6649,,0.9375,,0.16830962896347046,,
5,6699,,0.921875,,0.21162056922912598,,
5,6749,,0.921875,,0.1323094666004181,,
5,6799,,0.953125,,0.11712007224559784,,
5,6849,,0.921875,,0.17730051279067993,,
5,6899,,0.921875,,0.2146018147468567,,
5,6949,,0.953125,,0.39044615626335144,,
5,6999,,0.875,,0.22907677292823792,,
5,7049,,0.9375,,0.14707417786121368,,
5,7099,,0.890625,,0.3436335623264313,,
5,7149,,0.875,,0.27728384733200073,,
5,7199,,0.9375,,0.11766530573368073,,
5,7249,,0.9375,,0.19245418906211853,,
5,7299,,0.9375,,0.3293338119983673,,
5,7349,,0.9375,,0.2886035442352295,,
5,7399,,0.96875,,0.15036523342132568,,
5,7449,,0.96875,,0.10852241516113281,,
5,7487,,,,,0.9242031574249268,0.21699188649654388
5,7487,0.9363731741905212,,0.18674370646476746,,,
6,7499,,0.96875,,0.10381442308425903,,
6,7549,,0.9375,,0.19874495267868042,,
6,7599,,0.96875,,0.08110817521810532,,
6,7649,,0.90625,,0.25579115748405457,,
6,7699,,1.0,,0.05456048250198364,,
6,7749,,0.953125,,0.23608946800231934,,
6,7799,,0.9375,,0.14195044338703156,,
6,7849,,0.953125,,0.12945494055747986,,
6,7899,,0.96875,,0.1813775599002838,,
6,7949,,0.9375,,0.25296491384506226,,
6,7999,,0.96875,,0.1175614520907402,,
6,8049,,0.96875,,0.1005987673997879,,
6,8099,,0.96875,,0.11073547601699829,,
6,8149,,0.953125,,0.14026671648025513,,
6,8199,,0.96875,,0.08636075258255005,,
6,8249,,0.953125,,0.07934311777353287,,
6,8299,,0.953125,,0.11424120515584946,,
6,8349,,0.9375,,0.17205452919006348,,
6,8399,,0.90625,,0.18072372674942017,,
6,8449,,0.96875,,0.08743815124034882,,
6,8499,,0.9375,,0.16161403059959412,,
6,8549,,0.921875,,0.17870740592479706,,
6,8599,,0.90625,,0.20248380303382874,,
6,8649,,0.921875,,0.22728067636489868,,
6,8699,,0.9375,,0.1527981460094452,,
6,8735,,,,,0.9256672859191895,0.21372896432876587
6,8735,0.9417818784713745,,0.16815505921840668,,,
7,8749,,0.984375,,0.06013304367661476,,
7,8799,,0.984375,,0.0614795945584774,,
7,8849,,0.953125,,0.13200275599956512,,
7,8899,,1.0,,0.029026176780462265,,
7,8949,,0.953125,,0.13512927293777466,,
7,8999,,0.96875,,0.10328812897205353,,
7,9049,,0.953125,,0.16411657631397247,,
7,9099,,0.953125,,0.09942841529846191,,
7,9149,,0.96875,,0.09402889013290405,,
7,9199,,0.90625,,0.4177432060241699,,
7,9249,,0.90625,,0.21401415765285492,,
7,9299,,0.9375,,0.2949712872505188,,
7,9349,,0.953125,,0.17438440024852753,,
7,9399,,0.9375,,0.16744215786457062,,
7,9449,,0.921875,,0.22760383784770966,,
7,9499,,0.96875,,0.09252828359603882,,
7,9549,,0.921875,,0.181068554520607,,
7,9599,,0.890625,,0.17138198018074036,,
7,9649,,0.96875,,0.10814299434423447,,
7,9699,,0.96875,,0.17371177673339844,,
7,9749,,0.953125,,0.14702489972114563,,
7,9799,,0.9375,,0.18267256021499634,,
7,9849,,0.90625,,0.20447495579719543,,
7,9899,,0.9375,,0.30967432260513306,,
7,9949,,0.875,,0.25368571281433105,,
7,9983,,,,,0.9308480620384216,0.2027275413274765
7,9983,0.9463015794754028,,0.15187637507915497,,,
8,9999,,0.953125,,0.12340442836284637,,
8,10049,,0.96875,,0.07549647986888885,,
8,10099,,0.96875,,0.09048570692539215,,
8,10149,,0.921875,,0.143776535987854,,
8,10199,,0.921875,,0.27056366205215454,,
8,10249,,0.96875,,0.06899964809417725,,
8,10299,,0.96875,,0.12749698758125305,,
8,10349,,0.96875,,0.26876628398895264,,
8,10399,,0.984375,,0.10142931342124939,,
8,10449,,0.96875,,0.06601475924253464,,
8,10499,,0.953125,,0.13187408447265625,,
8,10549,,0.984375,,0.09293361753225327,,
8,10599,,0.984375,,0.0904930830001831,,
8,10649,,0.96875,,0.15565282106399536,,
8,10699,,0.90625,,0.13968506455421448,,
8,10749,,0.921875,,0.12891750037670135,,
8,10799,,0.890625,,0.1973576694726944,,
8,10849,,0.953125,,0.11236786097288132,,
8,10899,,0.921875,,0.15173222124576569,,
8,10949,,0.96875,,0.10890844464302063,,
8,10999,,0.96875,,0.08522741496562958,,
8,11049,,0.984375,,0.046209897845983505,,
8,11099,,0.953125,,0.10151851922273636,,
8,11149,,0.953125,,0.17457939684391022,,
8,11199,,0.90625,,0.16835594177246094,,
8,11231,,,,,0.9316364526748657,0.20562425255775452
8,11231,0.9507086277008057,,0.13741889595985413,,,
9,11249,,0.984375,,0.10369658470153809,,
9,11299,,1.0,,0.025360655039548874,,
9,11349,,0.984375,,0.0797102078795433,,
9,11399,,0.96875,,0.09062991291284561,,
9,11449,,1.0,,0.03330376744270325,,
9,11499,,0.984375,,0.06057049334049225,,
9,11549,,0.921875,,0.14891651272773743,,
9,11599,,0.953125,,0.2096521407365799,,
9,11649,,0.953125,,0.11964044719934464,,
9,11699,,0.96875,,0.09203929454088211,,
9,11749,,0.984375,,0.05242826044559479,,
9,11799,,0.953125,,0.11756697297096252,,
9,11849,,0.9375,,0.1262776255607605,,
9,11899,,0.984375,,0.0503501370549202,,
9,11949,,0.96875,,0.06471870839595795,,
9,11999,,0.90625,,0.2378542572259903,,
9,12049,,0.890625,,0.13692796230316162,,
9,12099,,0.921875,,0.15630757808685303,,
9,12149,,0.9375,,0.20731139183044434,,
9,12199,,0.9375,,0.14067980647087097,,
9,12249,,0.921875,,0.2103203535079956,,
9,12299,,0.96875,,0.08720788359642029,,
9,12349,,0.96875,,0.10243886709213257,,
9,12399,,0.984375,,0.07617172598838806,,
9,12449,,0.984375,,0.055951058864593506,,
9,12479,,,,,0.9352404475212097,0.19622394442558289
9,12479,0.9543394446372986,,0.1251269280910492,,,
